Nama	Alamat	Email	website	Telp	Fax	Pengasuh
Daarut Tauhid (167)	Jlrb 6 jbtn 1 Saleh mulya Air saleh Sumatera selatan 	  daaruttauhid@ymail.com	-	 081367012181  	-	KH.Imam Tauhid.S.Sos
Dar al Tauhid (Putra-Putri)	Jl.KH Syatori Arjawinangun Cirebon 45162 Jawa_Barat	-	-	 0231357163/357281  	-	KH Ibnu Ubaidillah/KH Husein Muhammad/KH Ahsin Sakh
dar al tauhid (Putra-Putri)	jln. K. H. Syathori no. 10-36 Desa. Arjawinangu Kecamatan. Arjawinangun Cirebon 45162 Jawa_Barat 	-	  www.daraltauhid.com	 0231 357163  	-	K. H. Abdurrohman Ibnu Ubaidillah Syathori, K. H. Husain Muhammad, K. H. Ahsin Sakho Muhammad
Dar Al-Qur'an Al-Islamy (350)	Lebaksiu Kidul - Lebaksiu - Tegal JAWA TENGAH	-	-	 0283 463751  	-	KH. Abdulloh Ubaid Mahfudz
Darel Hikmah (Putra-Putri)	Jl. Manyar sakti KM 12 Riau 	  waladsyuhada@gmail.com	-	 	-	KH. Drs. Mukhtarullah
Daru Huffadh (putra dan putri)	Jln Poros.. Bone-Sinjai Desa Tarasu, Tuju-Tuju Kec kajuara Kab Bone Sulawesi Selatan Sulawesi Selatan 	  darulhuffadh@yahoo.com	  www.darulhuffadh.or.id 	 0482 2426591 	 0482 2426216 	Saad Said
Daru Ulil Albab (Putra-Putri)	jl Sungai Brantas no:25 Ds Kelutan Kec Ngronggot Kab Nganjuk Jawa_Timur 	-	  www.metafisika-center.org	 0358-792799 / 081335465017  	-	KH DR Kharisudin Aqib M Ag
Darud Da'wah Wal-Irsyad (DDI) (Putra-Putri)	Jln. Beringin Entrop Kota Jayapura Irian_Jaya 	  pawawa_hk@yahoo.com	-	 0967-533729/081344453859 	 0967-533729 	Ust. H. Muh. Said. HK, S.HI
darul amin (Putra-Putri)	sampit, kab.kotim,kalimantan tengah Kalimantan_Tengah 	  rebox_ma@yahoo.co.id	-	 0539 24225  	-	muhammad rif'at
Darul Amna (Putra-Putri)	Beureunuen DI_Aceh 	  ata_loen@plasa.com	-	 06537005200  	-	Tgk. Rahmatullah, S.Th
Darul Arqam Muhammadiyah	Jl Ciledug 284/36 Garut 44181 Jabar	-	-	 	-	
Darul Arqam	Wonocolo Pabrik Kulit II/42 Surabaya Jatim	-	-	 	-	KH Abdul Fattah 
Darul Arqom Muhammadiyah (putra-putri)	Tegalasri Rt. 05 / 06 Bejen Karanganyar Jawa Tengah 	  yanto_view@yahoo.com	  www.dfirstgeneration.blogspot.com 	 0271495887  	-	Ust. Sriyanto 
darul azqiya (Putra-Putri)	Jl.raya cipanas no.87 cianjur Jawa_Barat 	  azqiya.net.id	  www.azqiya_zaki 	 (0253) 95763344 	 (0253)95763345 	Dr.kh.ahmad zaki mubarok
Darul Faizin (Putra-Putri)	Jl. Danau Sentarum - Jl. Petani No. 4 Pontianak kota 78116 Kalimantan_Barat 	  YPSD-DF@Plasa.com/lpsd_dafa@Yahoo.com	  www.darulfaizin.blogspot.com 	 0815-220-8614 / 0561-573902 	 0561-573902 	Ust. Rudhy Abdullah faiz, S. Ag
Darul Falah (Putra-Putri)	Jl. K.H. Mahfudz N0. 23 Kel. Cijati-Majalengka Jawa_Barat	-	-	 0233 -282810-283277-282813 	 0233-283308 	Drs. K.H. Toto Abdulah, M.MPd.
Darul Falah (Putra-Putri)	Jl. Kediri Cukir Jombang Jawa_Timur 	  DF_Cukir@yahoo.co.id	-	 0321864562,860456,874982  	-	KH. Maghfur Ali, KH. Mukhlis Dimyathi, Drs. KH. Muhammad Amin, Drs. KH. Syamsuddin MPd,
DARUL FALAH (70)	sripurnomo kec.kalirejo lam-teng lampung 	  geminiihsan@yahoo.co.id	-	 085769401465  	-	KH. Ma'mun mansurudin
DARUL FALAH (1500)	JL.RAYA CIHAMPELAS NO 45 JAWABARAT	-	-	 0226868414  	-	KH.ASEP BURHANUDDIN
darul falah 3 (Putra-Putri)	cukir jombang Jawa_Timur	-	-	 864562 	61471	maghfur ali
Darul Fallah (Putra-Putri)	Desa Kampung Baru Kec. Concong INHIL Riau	-	-	 	-	
darul fiqhi (Putra-Putri)	dsn.ngepung. ds. rejosari kec. deket. kab.lamongan Jawa_Timur 	  www.darul_fiqhi@yahoo.co.id	  www.darulfiqhi.net 	 0322317328  	-	kh.abdulah mujjib.hs
Darul Hadits Alfaqihiyyah (Putra-Putri)	Jl. Aries Munandar 10 P.O. BOX. 29, Malang - 65119 - Jatim Jawa_Timur	-	-	 (0341) 362679-320806  	-	Habib Muhammad Bin Abdullah Bilfaqih, Habib Abdurrahman Bin Abudullah Bilfaqih, Habib Abdul Qadir Bi
Darul Hidayah	Jl. Tujuh Belas Agustus II no.19 Gatot Subroto Bandung 40273 Jabar 	  darulhidayah@myquran.com	-	 022-7318966 	 022-7310863 	KH.RA.Memed
Darul Hidayah (Putra-Putri)	jl. 17 Agustus No.19 Jawa_Barat 	-	  -	 022-7318966 	 022-7310863 	KH.AEP SAEFULLOH
Darul Hikam	Joresan Mlarak Ponorogo Jatim	-	-	 	-	KH Nuril Hamdi, KH Jiryan Hasbullah
Darul Hikmah	Jl. Kebonsari Tengah No. 64 Surabaya Jatim	-	-	 031-8289277  	-	Prof. Syekhul Hadi P.
Darul Hikmah (YAPIDH) (Putra-Putri)	Pedurenan Jatiluhur Jatiasih Bekasi Jawa Barat Jawa_Barat 	  maftuh2002@yahoo.com	  www.yapidh.org 	 02182410887 	02182410906	Dr. Ahzami Samiun Jazuli
darul huffadh	77 kec.kajuara kab. bone Luar_Negeri	-	-	 	-	
Darul Ihsan (Putri)	Petok, Kediri Jatim	-	-	 	-	Ibu Nyai Durin Maknun
Darul Ilmi (Putra-Putri)	Jl. Brigjend Katamso No 314 Sidomukti Kraksaan Probolinggo Jawa_Timur	-	-	 0335 841582  	-	Muhammad Mahbubi Marfu' Latief
Darul Istiqomah	Ds.Kamulan, Kec.Durenan, Kab. Trenggalek Jatim	-	-	 	-	KH. Khatib, KH. Lahuri
DARUL ISTIQOMAH (Putra)	SIMPANG BABA, MUAR,JOHOR,MALAYSIA Luar_Negeri	-	-	 0122260403  	-	USTAZ IMRAN BIN MAT KAHAR
Darul Kamilin (Putra-Putri)	Jati Desa Bakan Kec. Janapria Kab. Lombok Tengah NTB	-	-	 	-	Drs. TGH. Kamalsyah Tahdy
Darul Karomah	Jl. Kramat 5-A Singosari Malang Jatim	-	-	 	-	K Abdul Karim
Darul Karomah (Putra-Putri)	Jl pesantren no 20-21 rt 03 rw 03 Randuagung Singosari Malang Jawa_Timur 	  Ifath_87@yahoo.com	-	 0341 452250  	-	K. Agus Fathul Ulum S.pdi . K. Agus Irfan Zainul Fuad S.Ag
Darul Karomah Gunung Jati	Jl. Kramat Kec. Kraton Pasuruan Jatim 	  gunung-jati@plasa.com	-	 (0343) 420263  	-	KH. Munif Abdul Karim
Darul Lughoh Wal Karomah	Jl. Mayjen Panjaitan 12 Kraksaan Probolinggo Jatim	-	-	 0335-841740  	-	KH Aliwafa Baidhowi
Darul Muslimin	DesaJatigedong,Kecmatan Ploso, Kab. Jombang Jatim 	  darul_muslimin@yahoo.com	-	 (0321) 888173  	-	KH Sulhan Muslimin
Darul Musyawarah (Putra-Putri)	Jl. KH Abdul Manan RT 3 RW 5 Klumosari Banjaragung Bangsri Jepara Jawa_Tengah	-	-	 	-	KH. Afif Zubaidi
Darul Muttaqien (Putra-Putri)	Jln. Raya Jakarta Bogor KM. 31 Po Box 25, Jabon Mekar, Parung, Bogor 16330 Jawa_Barat 	  darul_muttaqien@yahoo.com	  www.darulmuttaqien.com 	 0251601548 	0251611884	Drs. KH. Mad Rodja Sukarta
Darul Muttaqin (Putra-Putri)	Jl.Tamrin Lomanis Cilacap Jawa_Tengah 	  ponpeslomanis@yahoo.co.id	-	 0282546335  	-	KH Drs Imam Mudaris
DARUL MUTTAQIN (putra-putri)	JATIPRAHU KARANGAN TRENGGALEK 66361 JAWA TIMUR	-	-	 0355-793090  	-	K. MAS'UD HABIB
darul Quddusis-salam (Putra-Putri)	jl pondok Bener Tengaran Salatiga 50775 Jawa_Tengah	-	-	 0298313314  	-	K.Agus Wahib Sabara
Darul qur'an (putra|-|tahfiz|-|)	Jl dorowati torong - kota batu Jawa timur	-	-	 03417375751  	-	Ustadz Arifudin AlHafidz
Darul Qur'an (1500)	Jl. A Yani 06 Ngawi Jawa Timur 	  sanusingawi@gmail.com	-	 0351 749180  	-	KH.Ali Muntaha
Darul Quran	Watugede Singosari Malang Jatim	-	-	 	-	KH Mustain
Darul Ulum	Jl.Rejoso 1 Peterongan Jombang Jawa_Timur 	-	  http://www.darululum-online.edu	 	-	K.H. As'ad Umar
Darul Ulum (Putra-Putri)	Jl. cendrawasih no.52  serang klangenan cirebon Jawa_Barat	-	-	 0234)  343483  	-	Ust. H. Khotibul Umam  Ali
Darul Ulum (Putra-Putri)	Rejoso Peterongan Jombang Jawa_Timur 	  email@darululum.net	  www.darululu.net 	 0321876771 	0321876771	KH. As.ad Umar
Darul Ulum (Putra-Putri)	bakung - cipari - cilacap Jawa_Tengah	-	-	 	-	KH. Hakim Mahmiluddin
Darul Ulum (Putra-Putri)	Jl. Rasau Jaya Desa Kuala Dua Kecamatan Sei Raya Kabupaten Kubu Raya Kalimantan_Barat 	  diniyahsalafiyah@yahoo.com	  www.darululum.page.tl 	 0561 7058411  	-	Ust. Nurul Mawalid
darul ulum	Desa Sidomukti Kecamatan Padang Jaya Kabupaten Bengkulu Utara Propinsi Bengkulu Bengkulu	-	-	 	-	K. Rusdi Muslim
DARUL ULUM (putra-putri)	Kertamukti, Jalur 27, Air Sugihan, OKI Sumatera Selatan	-	-	 081271310022  	-	KH.M.Ali Luqman
Darul Ulum Lido (Modern)	Jl. Mayjen HR.Edi Sukma Km.22 Muara Ciburuy Cijeruk Bogor 16740 Jabar 	  dulido@indo.net.id	-	 0251-221304 	 0251-221305 	Drs. KH. Ahmad Dimyati
DARUN NADWAH (Mahasiswa)	Kranji paciran lamongan Jawa_Timur	-	-	 085731656235  	-	Abu Aqilah
Darunnaja (Putra-Putri)	Kp. Cihareuyheuy RT.01 RW.05 Ds. Padaulun Kec. Majalaya Jawa_Barat 	  darunnaja@yahoo.co.id	  - 	 (022) 5955676 	 - 	Kyai Nandang Syukur Hidayat
DARUNNAJA (putra-putri)	Jl,Lintas Barat Km:77 Pemandi Ketahun Bengkulu Utara BENGKULU 	  darunnaja_bkl@yahoo.co.id	-	 08127305952/0811733322  	-	K.H.M.Ali Lukman Khusnan dan K.M.Sholeh.
Darunnajah	Jl.Ulujami Raya No.86 Pesanggrahan Jakarta Selatan DKI_Jakarta	-	-	 	-	Drs. Kh. Mahrus Amin, Kh. Abdul Manaf Mukhayar
Darunnajah (9,400 santri dan 870 guru)	Ulujami Raya 86 Pesanggrahan Jakarta 12250 DKI Jaya 	  sekretaris.darunnajah@gmail.com	  www.darunnajah.com 	 0217350187, 02173883665 	 021 73880158 	KH. Mahrus Amin, KH Sofwan Manaf
DARUNNAJAH CIPINING (Putra-Putri)	Jl. Argapura Kotak Pos 1 Jasinga Bogor Jawa_Barat 	  trendarunnajah@yahoo.com	  www.darunnajah-cipining.com 	 	-	KH. Jamhari Abdul Jalal, Lc.
Darurrohman	tempelsari kalikajar wonosobo Jawa_Tengah 	  dziya_1174@yahoo.com	-	 081511084606  	-	Kh Mustofa Afifi
DARUS SA'ADAH (putra)	SIDOTOPO KIDUL NO 47 RT3 RW1 KELURAHAN SIMOKERTO KECAMATAN SEMAMPIR SURABAYA JAWA TIMUR	-	-	 	-	H.ROGIAN
Darus Salam	Poris Jaya - Batu Ceper - Tangerang Banten	-	-	 (021)5401743  	-	Ust H Mas'ud
Darus Salam	Ds Sawahan Mojosari Gg 6 Mojokerto Jatim	-	-	 	-	KH Sa'id Munajad
DARUS SHOLAH (Putra-Putri)	Jl M Yamin 25 Jember Jawa_Timur 	  darussholah@gmail.com	  www.darussholah.com 	 0331 334521 / 335089 	 - 	Drs. KH. Nadhier Muhammad, MA
darusalam (Putra-Putri)	kp ci paray des geriawas kec cikajang kab garut Jawa_Barat 	-	  .....	 .... 	 ..... 	u muflih,u abad badrujaman.u abdul majid.
DARUSH SHOWAB (Putra)	BABAKAN CIAWI DS. NAGASARI KEC. SERANG BARU KAB. BEKASI Jawa_Barat	-	-	 	-	HASAN BASRI, S.H.I.
Darussa'adah	gunung sugih lampung	-	-	 0725 528316  	-	Kh. Muhsin Abdillah
Darussa'adah (150 0rang)	jl. Proklamasi No. 187 Kelurahan air lintang Muara Enim Sumatera Selatan 	  mtsppds_muaraenim@yahoo.co.id	-	 0734-423928  	-	Taufik Hidayat
Darussalam	Dsn Gempol Ds Gedangan Kec. Sukodadi Kabupaten Lamongan Jatim	-	-	 	-	
Darussalam	Blokagung Pobox 201 Jajag Gambiran Banyuwangi 68485 Jatim	-	-	 	-	KH.Hisyam Syafaat
DARUSSALAM (Putra-Putri)	Jl. Raya Kalibakung No. 10 RT.02/03 (Jalur Menuju OW. Kab. Tegal) Kec. Balapulang Kab. Tegal 52464 Jawa_Tengah 	  pontrendarussalam@yahoo.co.id	-	 (0283) 3338995  	-	Drs. H. Jamil Muslim, MSI
Darussalam (Putra-Putri)	jl. kh.Ahmad fadlil I ciamis Jawa-Barat Jawa_Barat	-	-	 (0265) 773618  	-	Kh.Irfan Hielmy
darussalam	jl. kh. dalhal muntilan Jawa_Tengah	-	-	 	-	KH. Ahmad Abdul Hal Dal Har
DARUSSALAM (putra-putri)	KLARISAN, DONOROJO, MERTOYUDAN, KAB. MAGELANG JAWA TENGAH	-	-	 081578040223  	-	M. Asrorulloh-Nurul Badriyyah
DARUSSALAM (putra-putri)	BERMI MIJEN DEMAK JAWA TENGAH	-	-	 02913316764  	-	K. M. BAROKAH SYARQOWI
DARUSSALAM AN-NASHR (Putra-Putri)	JL.Raya Pandan Rejo,Bumi Aji Batu-MALANG Jawa_Timur 	  @annashr	  www.annahr.coid 	 0341-599066 	 0341-599066 	Ust Sufyan
Darussalam Madrasah Tarbiyah Islamiyah (Putra-Putri)	Desa Aur Duri Sumani Kab. Solok Sumbar Sumatera_Barat 	  -	  - 	 - 	 - 	Drs. Burhanuddin Abu Samah
Darussalamah	Sumbersari, Kencong, Pare, Kediri Jatim	-	-	 	-	Gus Nuri
Darussalimin Nahdlatul Wathan (Putra-Putri)	Jl.labuhan lombok kilometer 24 Sengkol Mantang NTB 	  darussaliminsengkol@yahoo.com	  http://darussaliminnwsengkol.wordpress.com 	 	-	DRS.H.Abdurrasyid
Darussholihin (Putra)	Kwadungan Rt.04/III, Kec. Kerjo, Kab. Karanganyar 57753 Jawa_Tengah 	  email@darussholihin.org	  http://darussholihin.org 	 08121502036 	 024-6700689 	Moh. Munkhanif Aly
Darusslam (Putra)	Jatibarang Kidul Jatibarang Brebes Jawa_Tengah	-	-	 	-	KH. Sholeh Basalamah
DARUSSOLIHIN (putra-putri)	KANGKUNG MRANGGEN DEMAK JAWA TENGAH 	  agusulin@ymail.com	-	 081390732482  	-	KH. ABDUS SHOMAD
DARUSSOLIHIN (putra-putri)	Jl. Giri Kusumo Kangkung Mranggen Demak Jawa Tengah 	  agusulin@ymail.com	-	 081390732482  	-	KH. ABDUS SHOMAD AHMAD
Darussurur (Putra-Putri)	Desa Lagadar Kec.Marga Asih Kab.Bandung Jawa_Barat 	  Darussurur@yahoo.co.id	  www.smpplusdarussurur.wordpress.com 	 (022)6670036-6674177-6676947-6  	-	KH.MUHAMMAD YAHYA,KH JALALUDDIN,KH.SULAEMAN
Darussurur (Putra-Putri)	Kp. Mencut LAgadar Marggasih Jawa_Barat 	  smpplusdarussurur@yahoo.co.id	  smpplusdarussurur.WordPress.com 	 0226670036  	-	KH. Muhammad Yayha
DARUSSYAFA'AT (Putra-Putri)	jl.lintas timur km.128. ds.tugujaya kec.lempuing kab.oki prop.sumsel 30657 Sumatera_Selatan 	  ppds@yahoo.com	  www.das.com 	 0712331132-08127383443  	-	kh.imam barizi.mb.s.if
Darusy Syahadah	Simo Boyolali jawa tengah	-	-	 	-	
darusyafa'at (Putra-Putri)	jl.lintas timur km.128 tugu jaya lempuing oki Sulawesi_Selatan	-	-	 0712331132  	-	KH.IMAM BARIZI
DARUT ISTIQOMH (putra-putri)	JL KEDUNG MANGU GANG 5 NO 4 RT  RW 3 KELURAHAN SIDOTOPO WETAN KECAMATAN KENJERAN SURABAYA 60128 JAWA TIMUR	-	-	 	-	KH ALIM MUSTOFA
DARUT TAQWA (putra-putri)	suci-manyar-gresik jatim	-	-	 031-3952995  	-	kh.munawwar kholil adnan
Darut Tauhid Al-alawi	Sendang Senori Tuban 62365 Jatim 	  ppm_dt@plasa.com	-	 0365-531992  	-	KH Nashiruddin
darut thoyyibin	jl.raya tanjung Jawa Timur	-	-	 	-	kyai mahsum
Daruth Thoyyibin	Jl. Tanjung No. 98 RT 04, Saroka-Saronggi-Sumenep-Madura Jawa_Timur	-	-	 (0328) 666014  	-	Kyai Sudahri Amsun
Daruttauhid Al-'Alawiyyah	Jl. Pasar Rahayu no.66A Potroyudan Jepara 59412 Jateng 	  abulubab@telkom.net	-	 (0291)591286  	-	KH. Ahmad Roziqin
darutta`lim wadda`wah (Putra)	jl kyai parseh jaya 23 bumiayu malang Jawa_Timur 	  dar_taklim@telkom.net	-	 0341753311  	-	Habib Asadullah Alwy Alaydrus
Daud Kholifatullah (Putra)	Ds. Semen Kec.nguntotonadi Kab. Magetan Jawa_Timur 	  -	  - 	 03517711008 	 - 	Ir. H Anang Sulistyo Muhtadi
dayah ruhul ikhlas	jl.blang bintang lama, km.10, desa lamceu, kecamatan kuta baro, kabupaten aceh besar. aceh 	  ruhulikhlas_2011@yahoo.co.id	-	 085277748495  	-	tgk.m.yusri harun
dayah thalibul huda (Putra-Putri)	jln.ir.mohd.thaher no;11 bayu-lamcot aceh besar DI_Aceh 	  abi_albayuni@yahoo.co.id	-	 0651 635133 	 0651 635133 	tgk.hasbi albayuni
DDI AD Mangkoso	Jl. AGH. Amberi said no. 1 Sulawesi_Selatan	-	-	 	-	
DDI At-Taqwa Jampue	Jl.Poros Kampung Baru Desa Lanrisang, Kec Lanrisang - PINRANG 91200 Sulawesi_Selatan	-	-	 	-	
DDI Ittihadul Wal-Jamaah Lerang-Lerang	Jl.I.Sawitto Kelurahan Benteng, Kec Watang Sawitto, Pinrang  91200 Sulawesi_Selatan	-	-	 	-	K.H.Lukman Hakim
DDI Manbaul \'Ulum Patobong (Putra-Putri)	Jl. Poros Pinrang - Langnga KM 12 Sulawesi_Selatan	-	-	 +624213914149 	 04213914149	H. Sulaeman
Ddi teluk pelita cabang mangkoso barru sulsel (Putra-Putri)	Jl. Lintas bono tlk pelita rt. 03 rw .03 desa sungai emas kec. Kuala kampar kab. Pelalawan prop. Riau Riau 	  Mhdalwidepes.@yahoo.com	-	 081364173006 	81364674531	Ust. Jamil t
DDI-AD Mangkoso (Putra-Putri)	Jalan KH. Amberi Said no. 1, Kel. Mangkoso, Kec. Soppeng Riaja, Kab. Barru Sumatera_Selatan	-	-	 	-	AGH. M. Faried Wadjedy, MA
DOWI AL MARZUQI (putra-putri)	NGLINGI NGASEM BOJONEGORO Jawa Timur 	  IDLO@PLASA.COM	-	 	-	KH.BAIDLOWI MARZUQI
El-hasany Sabreh (|-|putra-putri)	air tawar tanjungbumi bangkalan madura jawa timur	-	-	 (031) 3071004, (031) 83000003, 087851188881  	-	KH.fachruddin
ell firdaus (140)	tambak sari kedung reja cilacap jawa tengah	-	-	 0280523890  	-	kh.makinudin malik
Fadhlul Wahid (Putra-Putri)	Ngangkruk Bandungsari Ngaringan Grobogan Jawa_Tengah	-	-	 	-	KH.ABDUL WAHID ZUHDI
fajar mulya islam (Putra-Putri)	jl. drs. h. suharto no. 17 cidadap, campang raya tanjung karang timur bandar lampung Lampung 	  pondokpesantren.fmi@gmail.com	-	 0721 7448976  	-	Ust. H. Syaiful Bahri, Ust. M. Ridwan,
Fathan Mubina (Putra-Putri)	Jl.Veteran III No.23A Ciawi-Bogor, Jabar Jawa_Barat	-	-	 0251 240601 	 0251 234437 	H.Chairuman Kamal, Lc
Futuhiyyah	Mranggen Demak Jateng Jateng	-	-	 024-6710042 - 6711043  	-	KH. Muhammad Hanif Muslih
FUTUHIYYAH (Putra)	Jl.Tawang RejoSari Raya .no 1 Jawa_Tengah 	  alie_tower@yahoo.com	-	 0247612835  	-	K.H ABU MANSUR
Futuhiyyah (putra-putri)	Jl. Suburan Barat Mranggen Demak 59567 Jawa Tengah 	  admin@futuhiyyah.net	  www.futuhiyyah.net 	 024-6773322, 6711843 	 024-6711843 	KH. Muhammad Hanif Muslih, Lc
Girikesumo (Putra-Putri)	Girikusumo, Banyumeneng, Mranggen, Demak Jawa_Tengah	-	-	 024-70792837  	-	KH. Munif Zuhri
Hadiqoh Ushaqil Qur'an (Putra-Putri)	jalan wijaya kusuma babakan ciwaringin corebon Jawa_Barat 	  -	  - 	 08122190817 	 - 	KH.Nurhadi Thoyyib
Hasan Jufri (Putra-Putri)	Kebunagung Lebak sangkapura Bawean Jawa_Timur 	  pp_hasanjufri@yahoo.com	-	 0325421738 	325421738	KH. Bajuri Yusuf, Liss, KH. Abdullah Mufid Hilmi
Hasbunallah	Jl. Tegal Rejo Gg. Pondok No. 9 Ketindan lawang 65214 Jatim	-	-	 (0341) 422220  	-	KH.Drs. Sjaichul Ghulam, MM
hasyim asyari (Putra-Putri)	belakang kantor pos bangsri jepara 59453 Jawa_Tengah	-	-	 771054  	-	kh zainal umam,Lc
Hayat Mubarakallah	Jl cendrawasih no. 46 D RT 3 RW 2 Air Tawar Barat 25132 Sumatra Barat 	  hayatmubarakallah@yahoo.com	-	 081363349315  	-	
Hidayatul athfal (Putra)	Desa Dlanggu Kec. Deket Kab. Lamongan Jawa_Timur 	  Fahmizakka@yahoo.com	-	 0322 324322  	-	Ust. Maftuhin Dawud
Hidayatul Hikmah	Sawahan Mojosari Mojokerto Jatim	-	-	 (0321) 591825  	-	KH. Abdurrohman
HIDAYATUL MUBTADI-IEN (putra-putri)	Ngunut Tulungagung Jawa timur	-	-	 0355 395159  	-	KH M Darori Mukmin
Hidayatul Mubtadien Sunan Giri	Jl. Brantas No.56 Tugurante-Ngunut Tulung Agung Jatim	-	-	 0355-395197  	-	KH. Badrul Huda Ali
Hidayatul Mubtadiin Singosari (Putra-Putri)	Jl. Kembang Singosari Malang 65171 Jawa_Timur	-	-	 	-	KH. Imam Ghozali Syarief
Hidayatul Mubtadiï¾in (Putra-Putri)	Mlangi, Nogotirto, Gamping, Sleman DI_Yogyakarta	-	-	 0274- 625817  	-	KH. Nur Iman Muqim
Hidayatul Ummah	Bulusan Canden Jetis Bantul DI_Yogyakarta 	  hidayatulummah@lycos.com	-	 	-	Abd. Ghofur, S.Ag.
Hidayatullah (Putra-Putri)	Balikpapan Kalimantan_Timur 	-	  www.hidayatullahbpp.or.id	 	-	
HIDAYATULLAH (Mahasiswa)	Kelurahan Teritip, Balikpapan Utara, KALTIM Kalimantan_Timur 	  admin@hidayatullah.com	  WWW.HIDAYATULLAH.COM 	-	 0542 790886 	Ustadz Abdurrahman Muhammad
Hidayatur Rahman (Putra-Putri)	JL Gubernur Suryo RW-03 RT-01 kelurahan Karangpoh 61116 Gresik Jawa_Timur	-	-	 	-	KH Masfuh Hisyam
Hidayatur Rohman (putra-putri)	Jl. Gubernur Suryo No. 34/IIIB RT.001/RW.001 Kel. Tlogo Pojok Kec. Gresik Kab. Gresik 61118 Jawa Timur	-	-	 031-3982269  	-	Hj. Nur Hamidah Da'i
HIDAYATURRIDWAN (Putra)	WONOKERTO BANTUR MALANG JATIM Jawa_Timur	-	-	 0341-879491  	-	KH. ALI RIDLO
Hidayatus sholihin (Putra)	Damarwulan, Kepung, Kediri, Jawa_Timur 	  -	  - 	 0354-4328314 	 - 	K. Badrun Mustofa
Hidayatus Sholihin (Putra-Putri)	Jln, Raya Turus Gurah Kediri Jawa Timur Jawa_Timur	-	-	 0354-545182  	-	IBU Nyai Aisyah Manshur
Hidayatut Thulab	Ds.Kamulan, Kec.Durenan, Kab. Trenggalek Jatim	-	-	 (0355)879870  	-	KH. Masrukhin Mahmud, K. Thoha Munawar
Hidayatut Thulab (Putra)	Glugu Kec. Deket Jawa_Timur 	  delphi_exe@yahoo.com	  http://saka-jati.co.cc 	 - 	 - 	Ust. Agus Maftuhin
HILYATUL QURAN (Putra-Putri)	TUMIYANG  PEKUNCEN, BANYUMAS Jawa_Tengah 	  ujank_lukasep@yahoo.com	-	 081391615729  	-	ABAH RIDWAN AL GHOZALI
Hudatul Muna (Putri)	Jl. Yos Sudarso 2 B Ponorogo Jawa_Timur 	  p3hmjenes@telkom.net	-	 0352-487217  	-	KH.Muhammad Muslih Albaroni
HUSNUL HIDAYAH (179)	karangtanjung Alian Kebumen jawatengah 	  yusufibnum @mail.com	-	 08175460277  	-	Ky. M. Amir Misbah
Husnul Khotimah (Putra-Putri)	Manis kidul, Jalaksana, Kuningan Jawa_Barat	-	-	 0232 613808/614063 	 0232 613809 	KH. Sofyan Nur Lc
I'aanatuth Thalibiin	KM-8 Jalan Raya Perawang ~ Minas, Desa Perawang Barat, Kecamatan Tualang, Kabupaten Siak, Riau 28772 Riau	-	-	 081371041194  	-	Ust H. M. Amin R, Lc
Ibnu Kholil	Jl. KH Kholil 34 Bangkalan Jatim	-	-	 031-3095791  	-	KH Imam Bukhori
IDHOTUN NASYI'IN (Putra-Putri)	Sugihwaras Kalitengah Lamongan Jawatimur Jawa_Timur 	  el_anamy@yahoo.com	-	 081553211117  	-	KH. ABDUL FATAH
Ihya Ullumuddin (Putra-Putri)	Desa Pamarican,Kecamatan Pamarican,Kab.Ciamis Jawa_Barat 	  kurniawan_zul@yahoo.com	-	 081320637664 	-	K.H.Amir Hamzah dan Drs.H.Kurniawan Zulkarnain
IHYA ULUMIDDIN (Putra-Putri)	JL RAYA PAMARICAN NO 424 PAMARICAN-CIAMIS Jawa_Barat 	  de2wahyudin@yahoo.co.id	-	 0265 2733619  	-	KH. AMIR HAMZAH
Ihya'ul Ulum	Jl. Timur Pasar Dukun no 104, Dukunanyar Dukun Gresik Jatim	-	-	 031-3949638 	 031-3949638 	KH. Drs. Afif Ma'shum, KH. Robbach Ma'shum, KH Mahfudz Ma'shum
Ihyaul-Ulum (Putra-Putri)	Timur Pasar Dukun 104 Gresik 61155 Jawa_Timur	-	-	 031-3948808 	 031-3949638 	KH. Machfud Ma\'shum
Ilmu Al Quran (PIQ)	Jl. Raya 107/123 Singosari MAlang 65153 Jatim	-	-	 (0341) 458340, 458008  	-	KHM. Basori Alwi
insan kamil (putra-putri)	kp sawah karang rt 4 rw 23, jebres, surakarta jawa tengah 	  -	  - 	 02712164261 	 - 	
Irsyadun Nasyi'in (Putra-Putri)	Kasiyan Timur Puger Jember 68164 Jawa_Timur	-	-	 0336 721722  	-	KH Hasan Bashri
Irsyaduth Tholabah (Putra-Putri)	Jl.K.H.Ahmad 527 Rowobayan ds.Kuncen kec.Padangan kab.Bojonegoro Jawa_Timur	-	-	 0353551564  	-	K.H.Yusuf Effendi
Ishaka ( Tahfidzul Qur'an ) (147)	Jl. Dusun Ahuru no 40 Batumerah Kota Ambon Maluku 	  ishakapps@yahoo.com	-	 0911-341879  	-	Ustadz M. Taib Hunsouw, M.Ag
Islam Al-Haqiqi Al Falahi Joyonegoro	Jl. Sidosermo Dalam III/3 Sidosermo Wonocolo Surabaya Jatim	-	-	 031 - 8412160  	-	KH. Mas Luqman Hakim Abd. Qodir
